Year,Album,Artist,Albums sold
2004,Scissor Sisters,Scissor Sisters,1594259
2005,Back to Bedlam,James Blunt,2367758
2006,Eyes Open,Snow Patrol,1514554
2007,Back to Black,Amy Winehouse,1883899
2008,Rockferry,Duffy,1685000
2009,I Dreamed a Dream,Susan Boyle,1632732
2010,Progress,Take That,1841148
2011,21,Adele,3772346
2012,Our Version of Events,Emeli Sande,1393000
2013,Midnight Memories,One Direction,685000
2014,x,Ed Sheeran,1689000
2015,25,Adele,2496000
2016,25,Adele,753000
2017,รท,Ed Sheeran,2700000
2018,The Greatest Showman: Original Motion Picture Soundtrack,Original soundtrack,1600000
2019,Divinely Uninspired to a Hellish Extent,Lewis Capaldi,641000
2020,Divinely Uninspired to a Hellish Extent,Lewis Capaldi,456000
2021,30,Adele,600000
2022,Harry's House,Harry Styles,460000
2023,The Highlights,The Weeknd,391000
2024,The Tortured Poets Department,Taylor Swift,783800